title,author,isbn,category,totalCopies,availableCopies,publishedYear
Thanksgiving,Janet Evanovich,0060598808,Fiction,100,100,2006
Love Overboard,Janet Evanovich,0060598840,Fiction,100,100,2005
Back to the Bedroom,Janet Evanovich,0060598859,Fiction,100,100,2005
The Rocky Road to Romance,Janet Evanovich,0060598891,Fiction,100,100,2004
Thomas Jefferson,Christopher Hitchens,0060598964,Biography & Autobiography,100,100,2005
Muhammad,Karen Armstrong,0060598972,Biography & Autobiography,100,100,2006
Meeting Jesus Again for the First Time,Marcus J. Borg,0060609176,Religion,100,100,1995
Reading the Bible Again for the First Time,Marcus J. Borg,0060609192,Religion,100,100,2002
Shadow of the Almighty,Elisabeth Elliot,006062213X,Religion,100,100,1989
The Dance of the Dissident Daughter,Sue Monk Kidd,006064589X,Religion,100,100,2002
C.S. Lewis,C. S. Lewis,0060652853,Religion,100,100,1996
The Screwtape Letters,C. S. Lewis,0060652896,Religion,100,100,2001
Mere Christianity,C. S. Lewis,0060652926,Religion,100,100,2001
Learning to Love,Thomas Merton,0060654856,Religion,100,100,1998
The Mediator #4: Darkest Hour,Meg Cabot,0060725141,Juvenile Fiction,100,100,2004
Cash,Johnny Cash,0060727535,Biography & Autobiography,100,100,2003
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,0060727632,Biography & Autobiography,100,100,2004
Touching the Void,Joe Simpson,0060730552,Sports & Recreation,100,100,2004
Anybody Out There?,Marian Keyes,0060731303,Fiction,100,100,2006
My Little Pony: Hide-and-Seek,Jennifer Frantz,0060732709,Juvenile Fiction,100,100,2004
The Confusion,Neal Stephenson,0060733357,Fiction,100,100,2005
Bridge to Terabithia (rack),Katherine Paterson,0060734019,Juvenile Fiction,100,100,2004
Practical Demonkeeping,Christopher Moore,0060735422,Fiction,100,100,2004
Island of the Sequined Love Nun,Christopher Moore,0060735449,Fiction,100,100,2004
The Lust Lizard of Melancholy Cove,Christopher Moore,0060735457,Fiction,100,100,2004
Weetzie Bat,Francesca Lia Block,0060736259,Juvenile Fiction,100,100,2004
Behind the Curtain,Peter Abrahams,0060737042,Juvenile Fiction,100,100,2006
"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,0060739428,Juvenile Fiction,100,100,2004
Wicked Musical Tie-in Edition,Gregory Maguire,0060745908,Fiction,100,100,2004
Son of a Witch,Gregory Maguire,0060747226,Fiction,100,100,2006
This Rough Magic,Mary Stewart,0060747471,Fiction,100,100,2004
Airs Above the Ground,Mary Stewart,006074748X,Fiction,100,100,2004
The Mediator #5: Haunted,Meg Cabot,0060751649,Juvenile Fiction,100,100,2004
Beauty,Robin McKinley,0060753102,Juvenile Fiction,100,100,2005
Mating in Captivity,Esther Perel,0060753633,Psychology,100,100,2006
Forgotten New York,Kevin Walsh,0060754001,Travel,100,100,2006
The Dead Beat,Marilyn Johnson,0060758767,Social Science,100,100,2007
Charms for the Easy Life,Kaye Gibbons,0060760257,Fiction,100,100,2005
The Reading Group,Elizabeth Noble,0060760443,Fiction,100,100,2005
